episode_reward,episode_length,wall_time,episode_shield_step_count,episode_accepted_count,episode_corrected_count,episode_clipped_count,episode_blocked_count,episode_final_blocked_count,episode_fallback_count,episode_forecast_warning_count,episode_dynamic_reserve_count,episode_avg_abs_correction_kw,episode_max_abs_correction_kw,episode_min_soc_low_margin,episode_min_soc_guard_low_margin,episode_min_voltage_margin,episode_min_predicted_soc,episode_min_actual_soc,last_shield_reason,last_reserve_reason,source_file,episode,timesteps,moving_average_reward_5,moving_average_reward_10
443.342441,26279,97.378992,26279,24135,837,837,607,0,0,1313,20224,0.0250800134237852,3.4142980575561523,0.02,-0.0478351235954384,0.0384847130133598,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,1,26279,443.342441,443.342441
730.238877,26279,183.827913,26279,24802,165,165,102,0,0,1313,20224,0.0048126504986545,3.0068681240081787,0.0357299437241531,-0.03,0.0392020780856123,0.1857299437241531,0.1857299437241531,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,2,52558,586.790659,586.790659
742.787191,26279,263.644526,26279,24129,841,841,586,0,0,1313,20224,0.0318744202752434,4.915315739418399,0.021451683597002,-0.0468053607853913,0.0399252927057744,0.171451683597002,0.171451683597002,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,3,78837,638.789503,638.789503
980.968671,26279,350.348225,26279,24672,297,297,192,0,0,1313,20224,0.0095314465405218,3.155632495880127,0.0345637058196347,-0.03,0.0399636814170907,0.1845637058196347,0.1845637058196347,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,4,105116,724.334295,724.334295
1057.569489,26279,424.706485,26279,24461,517,517,391,0,0,1313,20224,0.0197892677951965,3.896536350250244,0.02,-0.0499999999999999,0.0404330660790761,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,5,131395,790.9813338,790.9813338
1131.560015,26279,507.983398,26279,24302,675,675,531,0,0,1313,20224,0.0296585867402334,4.92462158203125,0.02,-0.0481433575674891,0.0411433709794624,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,6,157674,928.6248486000001,847.7444473333334
1162.508637,26279,584.18488,26279,24287,725,725,587,0,0,1313,20224,0.0358389235838519,4.814703941345215,0.02,-0.0473195152580737,0.0405981756152089,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,7,183953,1015.0788005999999,892.7107601428571
1012.99625,26279,671.252608,26279,23771,1239,1239,1025,0,0,1313,20224,0.0606996863685978,5.393526554107666,0.02,-0.0478867241218685,0.0405730199371987,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,8,210232,1069.1206123999998,907.746446375
1180.877951,26279,747.55582,26279,24040,973,973,801,0,0,1313,20224,0.0466092044032939,5.192068099975586,0.02,-0.0480795748859251,0.0407025067680906,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,9,236511,1109.1024684,938.0943913333334
1177.260328,26279,833.814293,26279,23835,1221,1221,1022,0,0,1313,20224,0.0622212387763131,4.821220397949219,0.02,-0.0486514336988329,0.0415143079344031,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,10,262790,1133.0406362,962.0109850000001
1212.300274,26279,909.724282,26279,23970,1101,1101,941,0,0,1313,20224,0.0542013240203598,5.298016548156738,0.02,-0.0477991116842941,0.0419362347273941,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,11,289069,1149.1886879999997,1038.9067682999998
1233.47694,26279,995.107111,26279,23942,1142,1142,937,0,0,1313,20224,0.0556789988286346,5.531890869140625,0.02,-0.0472422905466274,0.0412484460181674,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,12,315348,1163.3823486000001,1089.2305746
1152.445213,26279,1071.96422,26279,23584,1558,1558,1303,0,0,1313,20224,0.0817465171567505,4.46210241317749,0.02,-0.0492134188190102,0.0422487184842224,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,13,341627,1191.2721412,1130.1963768
1389.135679,26279,1160.547048,26279,24300,778,778,626,0,0,1313,20224,0.0351056091240303,4.7314066886901855,0.02,-0.0450501368809491,0.0420969469654211,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,14,367906,1232.9236868,1171.0130776
1545.771225,26279,1238.562159,26279,24768,242,242,167,0,0,1313,20224,0.0081743870343553,3.3995423316955566,0.02,-0.0351272471468699,0.0423066654089687,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,15,394185,1306.6258662,1219.8332512000002
1568.815513,26279,1325.704401,26279,24766,261,261,191,0,0,1313,20224,0.0102468218317668,3.748546123504639,0.02,-0.0331384423132005,0.0425807940754636,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,16,420464,1377.928914,1263.5588010000001
1484.534892,26279,1403.00613,26279,24345,780,780,600,0,0,1313,20224,0.0343210388410842,4.399590158462531,0.02,-0.0440258698553631,0.0426632604484424,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,17,446743,1428.1405043999998,1295.7614265
1315.335985,26279,1489.966395,26279,23780,1448,1448,1165,0,0,1313,20224,0.0807332053277394,5.255254745483398,0.02,-0.0499999999999999,0.0429173303265253,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,18,473022,1460.7186588,1325.9954
1202.154485,26279,1570.702139,26279,23431,1828,1828,1553,0,0,1313,20224,0.113332436012425,5.447558403015137,0.02,-0.0499825643524527,0.0424321759571464,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve,formal_pomdp_lstm_train.monitor.csv,19,499301,1423.32242,1328.1230534
