Feature,Abs Contribution
PV Power,4.796718069319238
SOC,4.253461273734208
LSTM GHI +1h,3.415079536835998
Price,2.5397891174787137
LSTM Load +4h,2.497691758351772
Load,2.357343732969002
Price Forecast +3h,2.1198859179618115
Price Forecast +4h,1.951109720332319
LSTM Load +3h,1.4966966273946445
LSTM Load +1h,1.4964405826231713
Price Forecast +2h,1.4900209979954284
CO2 Intensity,1.14033353769084
LSTM GHI +2h,1.1269463933144215
Voltage PCC,1.068785606969276
LSTM GHI +4h,0.6759767636519048
Time,0.5563365627296759
Grid Power,0.5030996477811144
LSTM GHI +3h,0.4881518877380481
Price Forecast +1h,0.31149141439980554
LSTM Load +2h,0.26239124235067923
