Feature,Feature Group,Mean_Abs_Contribution,Mean_Contribution,Std_Abs_Contribution,Explanation_Count
PV Power,Renewable generation,3.8193062053091347,-3.8193062053091347,1.0308875941959779,25
SOC,Battery state,2.934417992019673,2.934417992019673,0.0890510618469738,25
Voltage PCC,Grid stability,1.1658535883253647,-1.1658535883253647,0.12153032099905138,25
CO2 Intensity,Carbon signal,0.763826173770791,-0.763826173770791,0.07522845915755982,25
Price,Economic signal,0.33410156397986734,0.33410156397986734,0.09874498934257205,25
Price Forecast +2h,Price forecast,0.3141532822107738,0.3141532822107738,0.09702481970576508,25
Price Forecast +4h,Price forecast,0.28643593802495027,-0.28643593802495027,0.08406874536279355,25
Grid Power,Grid exchange,0.2491615674794157,-0.2491615674794157,0.05681673784691176,25
Price Forecast +1h,Price forecast,0.17609497852303416,-0.17304868723361508,0.0891692300563574,25
Load,Demand,0.15302775529784862,0.15302775529784862,0.0791178290821464,25
Price Forecast +3h,Price forecast,0.10531611798104569,-0.07912349685490763,0.0682550668310885,25
Time,Time,0.08724519357289989,0.0671714711521214,0.05696081975728157,25
