Feature Group,Group Importance,Group Share (%)
LSTM solar forecast,2.941347897813037,25.72445068618054
Renewable generation,2.3074331250124414,20.18035665899151
Price forecast,1.6998023891757743,14.866137653800067
Battery state,1.2919624952914441,11.299250089807652
LSTM load forecast,1.1933942854701491,10.437191897147652
Economic signal,0.4887991908044818,4.274941664889075
Carbon signal,0.46006389699185096,4.02362843220907
Grid stability,0.37955147527838545,3.319482614051022
Time,0.3643582455967991,3.186605613000456
Demand,0.18353199816411475,1.6051347885842804
Grid exchange,0.12381022550750388,1.0828199013386899
